param n:=60;
param m:= 5;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
:=
       1  26 35 13 21 21 12 29 19 30 50 11 46 34 14 29 30 34 28 21 29 16 15 10 14 33 19 30 38 14 42 20 17 47 35 13 21 10 25 17 41 29 24 26 36 26 20 19 42 40 49 24 16 35 10 46 42 21 50 29 34
       2  24 43 25 36 39 49 14 42 40 16 50 43 38 30 40 25 18 31 32 15 14 35 35 17 38 30 17 34 50 21 13 37 16 28 49 27 32 24 45 30 33 32 10 31 45 31 14 27 16 27 41 40 45 44 50 14 19 41 36 21
       3  40 45 27 33 16 19 13 20 19 21 17 48 24 28 18 19 49 39 38 35 44 45 12 39 39 21 49 38 15 26 32 12 19 27 38 12 40 29 17 11 24 23 50 40 10 16 47 45 31 12 23 20 25 23 27 40 44 34 48 43
       4  14 31 22 29 28 17 40 31 24 42 39 23 47 22 17 22 48 40 14 11 36 50 37 44 16 23 43 47 12 38 37 18 22 34 30 38 48 35 45 37 50 32 24 40 32 19 40 32 49 36 47 24 47 46 27 46 15 22 11 39
       5  19 20 45 11 10 35 37 25 23 41 44 10 27 18 22 49 45 26 34 12 33 30 30 20 15 13 49 23 38 38 37 41 12 26 50 20 47 13 48 50 44 38 42 46 27 16 27 16 38 16 13 14 16 34 39 44 19 41 47 34
;
param a : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
:=
       1  7 16 18 15 17 10 17 11 19 6 5 19 21 19 23 12 7 5 21 20 23 12 22 6 14 17 24 25 22 8 13 7 24 11 8 22 15 24 15 18 23 11 17 16 6 21 21 9 24 9 22 9 25 6 8 8 16 12 24 6
       2  9 17 13 18 7 14 22 16 6 10 13 15 10 25 12 13 18 15 19 14 17 25 19 24 11 10 19 13 20 23 9 13 13 17 14 22 24 19 25 17 15 5 12 10 19 23 7 17 19 15 21 6 25 20 10 7 15 16 17 23
       3  18 24 6 18 16 18 15 23 19 9 21 7 17 9 19 22 23 5 21 9 14 21 9 23 15 24 22 12 12 24 6 20 23 15 15 14 12 9 24 20 19 9 7 20 13 14 14 10 13 21 18 12 16 19 5 14 17 20 13 22
       4  14 7 7 9 9 7 23 21 19 11 10 9 5 11 19 20 12 12 10 25 6 17 12 16 19 20 19 12 5 14 17 11 15 14 9 18 20 25 21 11 18 20 13 23 18 17 21 6 5 12 24 22 6 12 17 11 12 5 11 25
       5  21 11 6 14 16 12 12 6 22 18 16 8 18 13 16 16 13 8 23 18 11 15 6 11 17 17 20 8 9 17 11 11 22 6 24 24 17 20 11 16 15 11 9 21 6 24 21 6 25 9 21 15 21 6 8 23 21 23 7 12
;
param b:=1 209,2 209,3 209,4 209,5 209;
